pno1,pno2,rank1,rank2
5156205,6669109,9,3
5156205,6669109,6,9
8207678,6570455,9,9
8207678,6570455,6,10
7865115,8704700,11,11
4778570,6271425,1,2
4778570,6271425,4,11
6671916,5413517,9,10
8722533,5140487,13,12
8388589,6407784,5,10
8258842,5147070,10,8
8555986,5355706,5,5
7003761,7314689,3,8
5194333,8059552,7,9
8240010,4904840,4,11
7228446,8622799,8,4
7812523,6097412,9,2
7812523,6097412,1,4
7812523,6097412,12,5
6064928,6418080,8,9
4089587,5292253,7,10
4389048,6853242,12,9
4389048,6853242,7,13
8707352,7773396,10,4
5345197,4699840,5,1
4755894,5385251,4,9
4714248,8635946,10,5
7118356,4722196,7,12
4098583,4855679,10,10
5576630,8228100,9,2
5576630,8228100,12,6
8157783,4050801,12,11
8718041,6272832,13,11
7933210,6433749,13,7
4862873,7532370,1,8
8671148,7385532,10,13
3949074,6890660,7,7
7239340,8721274,8,12
7913647,4754914,1,5
7913647,4754914,6,12
6594133,8520837,1,4
4235505,6925036,7,7
7360338,8410458,2,10
7537292,6236310,1,2
4771105,4405324,4,11
7805663,5309435,10,3
8310003,7382039,10,5
8310003,7382039,12,8
4947913,7234606,5,7
6333054,5643972,8,11
7323835,7912530,7,3
8135889,6847566,3,12
4373381,6988565,3,9
8150491,7686757,3,1
8433425,5585691,6,6
5591269,4200118,12,8
6873500,4036782,5,2
6251511,7969377,6,12
8152205,6648537,9,3
8152205,6648537,3,4
8152205,6648537,13,8
4077271,5583524,6,2
8553354,4760566,4,1
6535468,7265900,7,8
6535468,7265900,9,9
4998086,4522233,11,8
5240252,4040480,6,4
7272336,5157476,6,11
4672649,5293227,4,11
7053406,5280519,8,7
6837810,7179240,12,11
4183503,4466636,6,8
4256870,6358490,2,13
7338443,6329712,8,10
4915956,4001152,10,2
7038147,7883132,6,10
7001087,8349535,9,5
8378615,7171088,13,3
8378615,7171088,12,8
8173540,6878616,5,4
6424305,8596770,2,3
4421654,7448731,8,2
4915834,4314654,1,10
7771740,5186936,5,6
4784416,8418391,3,1
6640980,8002642,9,8
6904793,5656691,8,7
7861249,4169544,10,5
7575222,8137369,12,10
4530186,6893443,10,10
6289971,4615517,8,8
5065903,5205542,2,6
8225840,4776620,5,13
8665619,7259708,8,9
7109801,4141004,6,3
7109801,4141004,1,11
5200818,4088943,5,7
