pno1,pno2,rank1,rank2
7712024,6297822,9,7
8730720,4499557,7,1
8004739,4832468,3,2
8004739,4832468,1,3
8256524,7165625,3,2
4598195,4086466,4,5
4598195,4086466,7,9
4598195,4086466,1,11
8383639,7414045,1,1
8383639,7414045,2,2
8383639,7414045,10,3
8383639,7414045,7,4
8383639,7414045,3,5
8383639,7414045,11,7
7404847,6872238,2,1
7404847,6872238,5,6
7663102,6943349,3,1
7663102,6943349,1,2
7663102,6943349,2,3
7663102,6943349,5,9
7663102,6943349,12,11
7663102,6943349,6,12
7102735,4755747,8,3
7102735,4755747,4,6
8544002,7103625,2,6
6417810,6166698,1,5
6417810,6166698,4,7
5217839,4845007,3,1
5217839,4845007,5,2
5217839,4845007,12,3
5217839,4845007,1,7
5217839,4845007,9,9
8419693,4895561,3,1
8419693,4895561,10,11
6580013,5144284,9,4
6580013,5144284,10,11
6580013,5144284,6,13
5353382,5021693,4,1
5353382,5021693,5,2
5353382,5021693,2,3
6622489,4608820,7,11
7772283,6903237,4,4
6363239,5290190,1,3
6303379,5166059,9,2
6303379,5166059,7,5
6303379,5166059,6,8
7852207,6998962,1,6
7852207,6998962,9,7
7071944,6038031,1,8
6530762,5292237,2,1
6530762,5292237,3,3
8282506,6186905,4,1
8282506,6186905,5,2
8282506,6186905,8,3
7275992,6906713,3,8
7548501,5212677,2,1
7548501,5212677,1,4
7548501,5212677,9,8
7548501,5212677,13,13
4268452,4020044,5,1
4268452,4020044,13,4
4268452,4020044,11,9
7054593,5568484,8,3
7054593,5568484,12,12
7345011,6364945,8,9
7835817,4616316,5,5
7835817,4616316,1,6
6250473,5227047,4,3
6250473,5227047,6,5
7719351,6538503,10,1
7719351,6538503,11,2
7719351,6538503,5,10
8577803,8156000,7,5
8577803,8156000,5,7
8577803,8156000,11,9
8577803,8156000,4,13
6369702,4778265,1,1
8524734,5284133,4,1
8431340,7488603,10,12
7730620,5103562,1,1
7730620,5103562,5,5
7730620,5103562,10,11
7968838,6922455,1,1
7968838,6922455,4,10
8210847,5096421,1,3
8210847,5096421,4,6
8210847,5096421,11,10
5588510,5324066,4,1
5588510,5324066,8,4
5588510,5324066,13,5
6240933,5129955,11,2
6240933,5129955,9,3
5189712,5007101,2,3
5189712,5007101,1,6
4720591,4499306,5,9
4720591,4499306,9,12
7856650,3947624,8,2
7707566,6202204,4,13
4532332,3972961,13,2
5023531,4720663,1,1
5023531,4720663,13,2
5023531,4720663,2,4
7438132,7240728,1,1
7438132,7240728,6,2
7438132,7240728,4,6
7438132,7240728,11,11
7438132,7240728,9,12
6596463,4603101,9,10
7811011,7322755,2,1
7811011,7322755,1,2
7811011,7322755,9,4
7811011,7322755,6,7
5244740,4915871,1,1
5244740,4915871,2,2
5244740,4915871,7,4
7525798,7099153,4,3
7525798,7099153,5,9
7463676,6366309,12,2
4793004,3945048,1,1
4793004,3945048,2,2
4793004,3945048,4,10
4793004,3945048,13,11
5246629,5108660,1,1
5246629,5108660,3,5
8153505,5580407,1,2
8153505,5580407,5,8
6398666,5172913,11,2
6398666,5172913,3,5
7842041,4131597,4,7
6131334,3965616,1,2
8552246,6197092,7,1
8552246,6197092,13,6
8552246,6197092,8,8
4364417,4267699,1,1
7137440,6175499,6,3
7137440,6175499,4,6
7137440,6175499,9,13
8698463,7746041,7,3
8698463,7746041,4,10
8698463,7746041,2,11
8171629,5024606,4,4
8171629,5024606,11,12
8335105,7116529,1,4
5406049,5083009,2,1
5406049,5083009,5,2
5406049,5083009,7,3
5406049,5083009,4,4
5406049,5083009,8,5
5406049,5083009,9,8
5406049,5083009,1,9
5406049,5083009,10,11
5406049,5083009,11,13
7819079,6332723,7,1
8688087,6597311,7,4
5419444,4982851,2,2
5419444,4982851,4,7
5419444,4982851,5,8
5419444,4982851,10,12
7220615,5344795,13,2
7220615,5344795,2,9
7931582,7338437,3,1
7931582,7338437,13,4
7931582,7338437,1,5
7931582,7338437,5,7
7931582,7338437,6,10
7931582,7338437,4,11
7931582,7338437,8,12
8630942,5394463,13,4
7652773,5131748,3,1
7652773,5131748,10,3
7652773,5131748,11,6
7652773,5131748,4,13
4528843,3931732,2,2
4528843,3931732,1,3
4528843,3931732,4,4
4528843,3931732,13,8
8591461,6554841,6,4
8591461,6554841,11,12
4329869,4089206,1,3
4329869,4089206,4,7
4329869,4089206,3,11
4329869,4089206,13,13
5014205,4800501,3,1
5014205,4800501,6,2
5014205,4800501,5,3
5014205,4800501,2,7
8421366,7114830,4,4
4294498,3935358,11,4
