1,2,3,4,5,6,7,7,7,8,9,9,10,10,11,12,13,13,14,14,5115936,
1,2,3,4,4,4,5,6,6,7,7,8,9,10,11,12,13,14,15,16,4981762,
1,2,2,3,3,4,5,6,7,7,7,7,7,7,7,7,8,8,8,8,6385881,
1,2,3,4,5,6,7,8,8,9,10,11,12,12,12,13,13,13,13,13,6899996,
1,2,2,3,4,4,4,5,5,5,5,5,5,5,6,6,6,6,7,7,5277024,
1,2,2,3,4,4,5,6,7,8,9,9,10,10,11,12,12,12,12,12,7685401,
1,2,3,3,4,5,6,7,7,7,7,8,8,8,8,9,10,10,11,11,6280553,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4871079,
1,2,3,4,5,6,7,8,9,9,9,10,11,12,13,13,13,14,15,16,8125833,
1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4811876,
1,2,2,3,3,4,5,6,6,7,7,7,8,9,9,9,9,9,9,10,6372896,
1,2,3,4,5,6,7,8,9,10,11,11,12,13,13,13,13,14,14,15,7642555,
0,1,1,2,3,4,4,4,5,5,5,5,6,7,7,7,8,8,8,8,6422763,
1,1,2,3,4,4,4,5,6,6,6,6,6,6,6,7,7,7,7,7,6853548,
1,1,1,2,2,3,4,4,4,4,5,6,6,6,7,8,9,9,9,10,7504786,
1,2,3,3,4,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,6424163,
1,2,3,4,4,5,6,6,6,7,7,8,8,8,8,9,10,11,11,12,7751389,
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4271737,
1,2,2,2,2,2,2,3,4,4,4,5,6,7,7,7,8,8,8,8,7107368,
1,2,3,4,5,5,6,7,8,8,9,10,10,10,10,11,11,12,12,12,5266285,
0,1,2,3,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4832307,
0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,7883858,
1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6262523,
1,2,3,3,4,4,5,6,6,7,7,8,8,8,8,8,8,8,9,10,6140983,
1,2,2,3,4,4,5,6,6,6,7,7,8,8,9,10,11,11,12,12,6881246,
0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,6186639,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7086415,
0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7130287,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,8223581,
1,1,2,3,4,4,4,4,4,4,4,5,5,6,7,8,9,9,9,9,6305112,
1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4540020,
1,2,3,3,4,4,4,4,4,4,5,5,6,7,7,7,8,9,10,11,7270326,
0,1,2,3,4,5,6,7,7,8,9,10,11,11,12,13,14,15,16,16,8698408,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6037541,
1,1,1,2,3,4,5,6,6,6,7,7,8,8,8,8,8,9,9,9,6393946,
0,1,2,3,4,4,5,6,7,8,8,8,9,10,11,11,12,12,12,12,7253849,
1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6352540,
1,2,2,2,2,2,3,4,4,5,5,5,6,6,6,6,7,7,7,7,8642550,
1,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6304914,
0,1,1,1,2,3,3,4,4,4,4,4,4,5,5,5,6,6,6,6,7204709,
1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4234792,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3995787,
1,2,3,4,4,5,6,7,8,9,10,10,10,11,11,12,12,12,12,13,5164621,
0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,7644051,
1,1,1,1,2,3,3,3,3,3,3,4,4,5,6,7,8,8,8,8,6247617,
1,1,2,3,4,5,5,5,5,5,5,5,5,5,5,6,7,8,9,9,8544291,
0,1,2,2,3,3,3,3,3,3,4,4,4,4,4,5,6,6,6,6,7573837,
1,2,3,3,3,3,3,4,4,4,5,5,5,6,6,7,7,8,8,8,4835905,
0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,6993353,
1,1,2,2,2,2,3,4,5,5,6,7,8,9,10,11,11,12,13,13,8246911,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,7638088,
0,1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,4837250,
1,1,1,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,8022962,
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,11,11,11,8257600,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8050841,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7576054,
0,1,2,2,2,3,4,4,4,4,5,6,7,8,8,8,9,9,9,9,7071358,
0,1,2,3,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,4225968,
1,2,3,3,4,4,4,5,6,7,8,9,10,11,11,12,12,13,14,15,6084056,
0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,7221926,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4939260,
0,1,2,3,3,3,3,4,5,6,6,7,7,7,7,7,8,9,9,9,5252001,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6030789,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4066559,
0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7362760,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,7311189,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7038218,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8193173,
