pno1,pno2,rank1,rank2
6982635,5051735,12,6
5372252,5230426,6,1
5372252,5230426,11,7
5078641,4057886,1,4
8568085,5374162,7,2
8568085,5374162,6,7
8407639,7032192,5,1
8407639,7032192,9,3
8407639,7032192,2,8
4662961,4290471,3,1
4662961,4290471,2,4
4662961,4290471,6,5
4662961,4290471,1,6
4662961,4290471,9,7
8573465,8006889,10,2
8573465,8006889,6,9
8563424,6190495,12,9
8159879,6522584,12,1
8159879,6522584,4,3
8159879,6522584,6,6
8159879,6522584,9,9
8159879,6522584,5,13
7557802,7248255,5,2
7557802,7248255,8,3
7557802,7248255,10,4
7557802,7248255,1,6
6474900,6142699,6,4
6474900,6142699,13,8
6474900,6142699,1,10
8584921,5535937,7,2
8584921,5535937,9,3
8608723,4607671,1,10
6151529,5640143,1,1
6151529,5640143,5,2
7232151,6601870,6,2
7232151,6601870,1,5
7232151,6601870,11,10
5645963,5248583,13,4
5645963,5248583,1,5
8382521,5004426,3,2
8382521,5004426,6,6
8689326,7584507,12,2
8689326,7584507,4,4
7409999,5435393,1,7
7038172,5352866,1,1
7038172,5352866,6,2
7038172,5352866,13,6
6848939,4834675,12,3
6848939,4834675,3,4
6848939,4834675,2,5
6848939,4834675,10,8
6848939,4834675,1,9
8329271,7036505,1,13
7704260,5494034,2,2
5282783,4846800,1,1
5282783,4846800,3,2
5282783,4846800,7,6
8262684,6616616,1,1
8262684,6616616,11,10
8488674,7894524,2,1
8488674,7894524,1,4
8488674,7894524,3,8
8488674,7894524,11,9
8488674,7894524,12,12
7802196,6924813,4,2
7802196,6924813,7,5
7802196,6924813,8,9
7802196,6924813,10,12
7453851,6937566,6,2
7453851,6937566,7,4
4564752,4027142,1,1
4564752,4027142,4,10
4564752,4027142,7,12
8196795,5482197,3,2
8196795,5482197,11,6
6461640,5134229,11,6
8505075,7272723,12,2
8505075,7272723,11,7
8505075,7272723,5,8
8505075,7272723,7,9
6864614,4751415,6,2
6864614,4751415,1,4
6864614,4751415,4,6
8643424,5617093,9,1
8643424,5617093,2,4
8643424,5617093,4,5
6094617,5594643,2,3
6094617,5594643,4,4
6094617,5594643,6,6
6094617,5594643,1,7
6094617,5594643,7,8
8203785,6175440,6,2
8203785,6175440,11,3
8203785,6175440,2,7
8203785,6175440,8,8
8690796,7198606,1,1
8690796,7198606,3,3
8690796,7198606,2,4
8690796,7198606,6,11
6387143,4184966,1,2
6387143,4184966,8,5
7135069,4357200,2,1
8462579,8145925,11,1
8462579,8145925,3,11
8462579,8145925,8,12
5300290,4917892,13,4
5158633,4126263,5,3
5158633,4126263,4,6
5158633,4126263,6,7
5158633,4126263,2,8
5158633,4126263,3,9
5158633,4126263,8,10
6341738,6158677,1,1
6341738,6158677,2,2
6341738,6158677,3,3
6341738,6158677,4,4
6341738,6158677,5,5
6341738,6158677,6,6
6341738,6158677,7,7
6341738,6158677,8,8
6341738,6158677,9,9
6341738,6158677,10,10
6341738,6158677,11,11
6341738,6158677,12,12
6341738,6158677,13,13
6508542,5105205,3,1
6508542,5105205,1,2
6508542,5105205,4,6
7232376,5282619,1,1
7232376,5282619,4,2
7232376,5282619,5,5
7232376,5282619,8,12
8190701,7139555,6,3
6491705,5035702,1,12
4880554,4704432,2,3
8453470,4685617,12,3
8453470,4685617,4,4
8453470,4685617,2,5
5381868,5190379,4,1
5381868,5190379,1,2
5381868,5190379,3,4
5381868,5190379,5,6
7643245,6600626,2,2
7643245,6600626,3,3
7643245,6600626,6,5
4804120,4702401,1,1
4804120,4702401,4,3
7740159,4767044,7,2
7604047,4154298,2,1
7604047,4154298,1,2
7604047,4154298,12,6
7604047,4154298,9,7
4976920,4321232,1,1
4976920,4321232,7,3
4976920,4321232,11,12
6032137,4843220,2,10
6603872,4821332,1,1
6603872,4821332,6,6
7966289,7577258,3,12
6463733,5402641,12,4
6463733,5402641,9,8
7687720,7408116,1,1
7687720,7408116,2,2
7687720,7408116,3,3
7687720,7408116,4,4
7687720,7408116,5,5
7687720,7408116,6,6
7687720,7408116,7,7
7687720,7408116,8,8
7687720,7408116,9,9
7687720,7408116,10,10
7687720,7408116,11,11
7687720,7408116,12,12
7687720,7408116,13,13
4775452,3956086,10,2
4775452,3956086,7,4
4775452,3956086,3,5
4775452,3956086,9,7
4775452,3956086,11,12
7305781,4790088,2,3
7305781,4790088,3,6
8634221,7089379,4,1
8634221,7089379,8,4
7124270,6625687,3,1
8231478,3997169,2,3
8231478,3997169,1,4
8231478,3997169,11,12
8046041,6934570,5,1
8046041,6934570,3,6
7619868,5384792,3,2
8587126,7531453,1,1
8587126,7531453,6,7
8587126,7531453,4,9
5348554,5230349,7,1
5348554,5230349,2,4
8667074,7783741,1,1
8667074,7783741,3,4
7984922,6402186,2,2
7984922,6402186,5,3
7280270,6574037,2,1
7280270,6574037,13,3
7280270,6574037,1,4
7280270,6574037,3,5
7280270,6574037,12,6
7280270,6574037,5,10
7280270,6574037,7,12
8452779,7904448,9,5
8356231,6947332,3,2
6508969,4703518,13,4
6508969,4703518,5,10
4640856,4364981,12,2
4640856,4364981,3,4
4640856,4364981,2,5
7942851,5243172,6,5
7549726,6260953,2,1
7549726,6260953,1,2
7549726,6260953,3,5
7549726,6260953,6,7
5144810,4359872,13,1
6497051,5253431,1,1
6497051,5253431,4,12
5494822,5051352,2,1
7698486,6088751,10,1
7698486,6088751,5,2
7647614,7344084,13,11
8539835,7784344,5,6
8539835,7784344,4,9
8539835,7784344,7,10
7693669,5396115,13,8
7693669,5396115,2,10
7693669,5396115,11,13
6377857,5476502,4,1
5078512,4859014,1,1
5078512,4859014,8,2
5078512,4859014,7,3
5078512,4859014,13,5
5230559,4180850,2,2
5230559,4180850,1,13
7903178,6462786,1,3
7903178,6462786,3,8
7644767,5636661,7,1
6870792,4620285,1,1
6870792,4620285,10,3
6870792,4620285,2,6
7798359,5031787,8,10
7704081,7559805,7,4
7704081,7559805,9,5
7704081,7559805,3,10
7704081,7559805,4,12
7053298,6610926,3,3
7053298,6610926,4,10
7053298,6610926,1,13
7336524,5341328,9,1
8226605,6316750,11,3
8226605,6316750,7,12
8439739,6464582,1,7
8439739,6464582,7,10
7632823,6183985,5,6
6439415,4307818,2,2
4921267,4746136,1,1
4921267,4746136,4,2
4921267,4746136,5,4
4921267,4746136,2,5
4921267,4746136,6,11
8742072,5154931,2,2
8742072,5154931,3,4
7903863,6546351,1,6
6300258,4189395,4,3
4920051,4326033,1,1
4920051,4326033,10,4
5310453,5255153,2,1
5310453,5255153,1,2
5310453,5255153,4,6
5310453,5255153,5,13
8600777,5640953,9,1
8600777,5640953,1,4
7811260,6942669,1,3
5243190,4996192,5,7
5243190,4996192,2,9
7347108,5605348,5,2
7347108,5605348,7,9
7462538,6656764,7,4
7462538,6656764,1,13
5094653,4530676,6,2
5094653,4530676,1,5
4695647,4166187,3,6
4695647,4166187,12,12
7225456,6072483,3,7
8562348,4960733,3,7
7694666,7055500,2,3
7694666,7055500,3,5
7694666,7055500,1,11
7694666,7055500,7,12
5600455,5394255,10,3
5600455,5394255,4,6
5600455,5394255,13,8
5600455,5394255,7,11
5600455,5394255,9,12
8119667,4743700,4,7
7464498,7389608,2,1
7464498,7389608,1,2
7682249,6454649,1,1
7682249,6454649,5,5
7956685,5338977,8,3
7956685,5338977,3,5
8659765,5135308,5,4
5566575,4815547,10,2
5566575,4815547,11,6
5566575,4815547,2,8
7029380,6361418,2,4
8725964,7103740,2,3
8725964,7103740,1,12
7451013,6428252,3,1
7451013,6428252,8,2
7451013,6428252,1,9
7602191,7388380,5,6
6489232,4821089,9,2
6489232,4821089,11,5
6489232,4821089,13,6
6489232,4821089,8,13
7120668,6212548,11,1
7120668,6212548,1,2
7120668,6212548,7,13
8544852,6547257,3,2
8127895,6079747,2,6
8127895,6079747,9,13
6073643,5301705,5,1
6073643,5301705,1,2
6073643,5301705,11,3
6073643,5301705,8,6
6073643,5301705,2,8
6073643,5301705,6,12
7258821,5599642,1,1
7258821,5599642,5,2
7258821,5599642,8,3
7258821,5599642,3,6
5203220,4881800,13,1
5203220,4881800,7,3
5203220,4881800,11,12
6663617,5078726,6,2
6663617,5078726,3,4
6663617,5078726,8,13
4446204,4013894,4,12
8406498,6608682,4,5
8406498,6608682,12,9
8406498,6608682,2,12
8517939,6496177,3,2
8517939,6496177,1,5
7119233,4048232,5,4
7119233,4048232,13,13
6952892,5052134,1,1
6952892,5052134,8,4
6952892,5052134,10,5
6952892,5052134,2,8
6952892,5052134,4,13
5484176,4715146,1,4
5484176,4715146,8,9
7956864,6275882,8,6
8276331,4570396,1,1
8356281,6418471,7,4
8356281,6418471,5,5
5348752,4555043,1,5
4892884,4611067,6,1
4892884,4611067,8,3
4892884,4611067,2,4
4892884,4611067,1,5
4892884,4611067,5,13
8577951,4777614,2,2
8577951,4777614,4,3
8577951,4777614,1,13
8281515,5336415,5,8
8281515,5336415,9,9
5549932,4703101,9,4
5549932,4703101,8,6
7978509,6111264,4,10
7978509,6111264,2,13
6443477,6073955,3,1
6443477,6073955,4,3
6443477,6073955,1,5
7646068,6448114,8,2
4856078,4015182,6,4
4856078,4015182,10,12
7557949,4825389,3,2
7557949,4825389,11,5
7346514,5319735,2,1
7346514,5319735,5,2
7346514,5319735,7,8
5308034,5145141,1,1
5308034,5145141,2,2
5308034,5145141,3,3
5308034,5145141,4,4
5308034,5145141,5,5
5308034,5145141,6,6
5308034,5145141,7,7
5308034,5145141,8,8
5308034,5145141,9,9
5308034,5145141,10,10
5308034,5145141,11,11
5308034,5145141,12,12
5308034,5145141,13,13
7674540,6506513,1,1
7674540,6506513,3,2
7674540,6506513,2,11
6939434,6101971,13,1
5256397,4834964,12,1
7341615,6419263,1,1
7341615,6419263,6,12
4671401,4029215,5,5
8517659,6210098,5,1
8517659,6210098,8,3
8517659,6210098,10,7
8517659,6210098,13,12
6543884,5198834,1,3
6543884,5198834,2,8
8752838,5494293,1,1
8752838,5494293,10,2
8752838,5494293,8,4
8752838,5494293,6,5
8752838,5494293,9,6
5624869,4663191,2,3
5624869,4663191,4,9
4686866,4296681,11,10
4686866,4296681,2,13
7792449,7340192,1,2
7792449,7340192,2,4
7792449,7340192,4,6
7792449,7340192,11,8
8236713,7772456,8,9
7849936,5232058,1,1
8354934,5657001,4,10
7664855,6975628,2,9
6341839,5070410,4,5
5332494,5268092,1,1
5332494,5268092,3,2
