pno1,pno2,rank1,rank2
6523373,6449992,4,1
8487758,4685903,10,13
6902103,3955677,2,13
7113393,5351897,1,1
7113393,5351897,8,8
7535234,6570392,1,1
7535234,6570392,2,3
8198546,4946524,7,2
8198546,4946524,1,9
5424046,5089228,3,4
6300035,5558971,4,2
6611757,6304216,9,2
6611757,6304216,6,3
6611757,6304216,1,6
8448651,6907888,3,2
4680776,3983340,1,2
4680776,3983340,3,4
4680776,3983340,5,8
7001486,4547266,1,1
7001486,4547266,3,12
6923846,5288304,3,1
6923846,5288304,12,3
6923846,5288304,5,9
7087629,4705799,2,3
7363938,5597012,1,1
7363938,5597012,3,5
7363938,5597012,8,9
7363938,5597012,9,10
5247503,5105408,13,2
5247503,5105408,2,4
8266748,6374845,3,10
7914513,7261708,3,3
7914513,7261708,1,4
7914513,7261708,5,5
7914513,7261708,4,6
7914513,7261708,6,8
6473929,3994037,1,1
6473929,3994037,3,2
6473929,3994037,13,8
7617554,5090076,1,12
6462131,4946899,8,3
6462131,4946899,4,4
6462131,4946899,9,8
6462131,4946899,2,13
8226681,6508828,6,3
6988624,5234564,1,2
8019589,7043599,2,3
8019589,7043599,13,10
6502970,5371659,11,1
6502970,5371659,2,3
6502970,5371659,1,4
6502970,5371659,3,6
6281141,4854263,11,6
8276691,6165616,2,1
6863543,6159048,3,1
6863543,6159048,1,8
6863543,6159048,12,10
6863543,6159048,9,13
7624967,4364545,1,1
7624967,4364545,9,4
6979474,5380567,7,1
6979474,5380567,8,4
7991397,7349694,3,7
5281679,4935474,5,2
5281679,4935474,6,3
5281679,4935474,4,4
5281679,4935474,3,5
5281679,4935474,13,6
7328089,6298285,1,1
7328089,6298285,10,11
7661426,5582163,2,2
7661426,5582163,5,4
8059104,4891764,11,1
8059104,4891764,3,3
8059104,4891764,4,12
6231834,5433204,1,7
6231834,5433204,6,12
8385729,4856578,6,1
8385729,4856578,1,2
8385729,4856578,7,6
8385729,4856578,3,8
8608900,6893533,1,6
8608900,6893533,9,8
8173161,4327076,5,3
4663338,4551469,7,5
6597346,4274093,7,9
8547902,7072657,6,1
8547902,7072657,2,2
8547902,7072657,1,5
6629530,6258065,4,1
6629530,6258065,1,2
7289036,5587705,4,4
8580017,5302190,8,4
8580017,5302190,10,12
8697164,5112674,1,3
8697164,5112674,7,7
8726743,4365402,1,12
8563863,4038519,1,4
4326247,4016546,2,1
4326247,4016546,3,8
4326247,4016546,1,9
8517265,5548282,2,2
8024272,4936436,3,1
8342301,6315093,13,1
8342301,6315093,10,3
8342301,6315093,1,5
8342301,6315093,5,7
8342301,6315093,4,10
6596958,4947017,4,2
6596958,4947017,2,4
7649607,6424394,12,7
7649607,6424394,11,12
8287125,7708405,1,1
8287125,7708405,2,2
8287125,7708405,3,3
8287125,7708405,4,4
8287125,7708405,5,5
8287125,7708405,6,6
8287125,7708405,7,7
8287125,7708405,8,8
8287125,7708405,9,9
8287125,7708405,10,10
8287125,7708405,11,11
8287125,7708405,12,12
8287125,7708405,13,13
7935352,7078041,4,1
7935352,7078041,3,2
