pno1,pno2,rank1,rank2
6516467,5488427,10,6
6516467,5488427,1,7
6467169,4247422,12,6
7625706,6403311,6,1
7625706,6403311,9,2
8172410,4906088,1,2
8172410,4906088,3,3
7062009,6415012,7,3
7062009,6415012,10,5
7062009,6415012,6,13
6271593,5578523,13,1
6271593,5578523,2,7
8364806,6226677,2,13
7217921,5420424,1,1
7217921,5420424,10,10
5204527,4303343,13,7
7378519,6562865,1,1
7378519,6562865,11,4
6190097,4529341,1,1
6190097,4529341,4,5
5246057,4382997,6,3
5246057,4382997,7,13
7250091,5282667,1,1
7250091,5282667,2,6
8472340,4914394,10,5
6287093,5558490,1,1
6287093,5558490,4,3
6287093,5558490,2,7
6287093,5558490,5,11
6545493,6275052,1,1
4917185,4787451,2,1
8573215,6098205,10,2
8281341,6239794,10,2
8281341,6239794,13,5
8281341,6239794,3,12
7076916,6925791,2,3
6344146,5562824,6,1
6344146,5562824,1,5
6542722,4130765,8,2
6542722,4130765,2,5
6542722,4130765,1,10
7975344,5392483,1,2
7975344,5392483,6,3
7975344,5392483,2,4
7975344,5392483,9,8
4553315,4161417,3,3
4950134,4347131,5,1
4950134,4347131,4,6
5444121,4125665,1,9
7126682,4537484,5,7
7126682,4537484,6,9
6629607,4492333,3,7
7821558,6271785,7,4
7821558,6271785,1,7
7650775,4627267,2,2
7650775,4627267,3,3
7650775,4627267,4,5
7650775,4627267,13,10
8010687,5452454,8,1
8010687,5452454,3,2
8010687,5452454,4,10
7944370,6130625,1,1
7944370,6130625,2,3
7944370,6130625,4,11
7849994,6880692,11,3
7849994,6880692,6,5
7849994,6880692,8,8
7894893,6230055,7,5
7894893,6230055,3,9
7610030,6356082,6,11
4768526,3972335,1,2
4768526,3972335,7,3
4768526,3972335,8,9
4768526,3972335,5,11
4768526,3972335,2,12
7250475,6518364,1,1
7250475,6518364,8,2
7250475,6518364,3,3
7250475,6518364,9,5
7250475,6518364,11,8
6053887,5395321,12,12
8655604,6643610,2,6
7290334,5288244,5,7
6939248,6193614,3,1
6939248,6193614,1,2
6939248,6193614,9,5
7273417,6443852,8,1
7273417,6443852,1,8
4911565,4042777,1,2
4911565,4042777,5,3
4911565,4042777,3,4
4911565,4042777,9,5
8464292,7856646,1,2
8464292,7856646,2,10
8279172,6422941,10,4
8279172,6422941,7,5
8279172,6422941,2,7
8279172,6422941,6,8
8641689,5092864,7,5
6301989,5078140,5,3
6670570,6087612,12,1
7094981,5625916,3,1
8574521,5316737,1,2
8574521,5316737,5,3
8574521,5316737,4,9
7095075,6134156,1,2
7095075,6134156,7,5
8353622,6260737,2,4
7813836,6646677,12,4
7813836,6646677,2,6
7813836,6646677,9,11
8089473,5409037,6,4
7715331,6167432,2,1
7715331,6167432,4,2
5385959,4749501,6,6
5385959,4749501,9,10
7735148,5220691,1,1
7735148,5220691,3,2
7735148,5220691,2,3
7635312,6315682,8,1
7635312,6315682,10,2
7635312,6315682,11,4
7635312,6315682,13,8
7635312,6315682,2,11
4262055,4166743,6,1
4262055,4166743,11,3
4262055,4166743,7,7
5418086,5059895,1,2
6650269,4307665,1,1
6650269,4307665,11,8
8693347,5490007,10,6
8693347,5490007,6,11
6988305,6558605,2,4
6988305,6558605,3,6
6618510,6285801,2,1
6618510,6285801,8,2
8352268,6446076,1,9
6331108,4954075,9,5
6331108,4954075,3,13
5125318,4949618,4,1
5125318,4949618,8,6
5125318,4949618,6,9
8370067,5493494,3,1
8370067,5493494,1,12
6083846,5422506,9,1
6083846,5422506,5,6
6083846,5422506,7,7
7780706,7179261,13,6
5175962,5044127,1,1
5175962,5044127,13,2
5175962,5044127,3,8
5175962,5044127,4,11
5175962,5044127,10,12
7789160,6232274,1,3
8245740,5055263,9,2
8245740,5055263,7,3
8245740,5055263,6,7
8245740,5055263,10,10
6626920,4917087,2,1
8146683,5379835,1,2
8146683,5379835,7,3
5528099,4956574,12,2
5528099,4956574,7,5
5528099,4956574,3,6
5528099,4956574,9,9
5528099,4956574,13,11
7923930,6633117,7,13
5355776,4913042,3,1
5355776,4913042,5,2
5355776,4913042,1,3
5355776,4913042,8,5
5355776,4913042,10,6
5355776,4913042,6,7
6087378,5391557,6,4
