pno1,pno2,rank1,rank2
8651760,3953284,12,7
8601626,7565516,11,12
4448337,4140413,7,3
4866592,4949580,13,5
6138387,6371211,10,3
5454024,5016227,1,5
7150014,5192797,7,7
5439753,4766316,1,10
8112068,7565696,6,6
8112068,7565696,9,10
7151574,5202762,5,5
5391020,8130416,2,11
7777794,8754645,13,1
6244442,5211370,10,6
8466963,4444216,5,13
6192756,4723206,4,4
7960933,6229871,9,8
6489852,6947084,8,5
6503777,7233988,8,4
5072042,4209421,8,3
7315031,7642125,2,8
7643913,5170773,1,11
7167503,7753641,9,8
8467080,5598093,4,4
5311155,4772212,2,12
5585770,6336201,12,8
8032330,8462779,9,10
7095339,4160964,11,4
4383595,7721534,8,8
6552960,6967574,2,11
7487923,6495623,1,13
4395662,7304255,3,8
4628717,4262270,13,7
7766518,6392368,3,1
7766518,6392368,2,4
7766518,6392368,5,5
5064029,6627917,11,12
6392997,8707006,4,7
7149267,8711699,6,7
4053081,4191739,9,9
8131668,7751776,8,13
6523803,6289578,8,5
6523803,6289578,7,12
6538596,8299869,12,8
7281123,7721909,13,13
7551473,6976375,11,10
8520095,8499128,11,8
4353687,4390051,2,10
5277042,6990582,11,8
7313940,4460000,4,10
5179740,8017074,11,12
7495360,4331377,3,3
3943116,4126657,9,13
4286081,5350874,13,3
7389384,4495949,8,10
8350816,5012644,3,8
4234956,7443424,10,7
8394242,6294052,13,12
4834171,4762970,13,9
8260557,7307652,6,10
5581491,7138817,1,2
5581491,7138817,8,9
8272000,6889049,10,6
8196078,7657251,11,4
7946891,5240683,13,13
6371611,7623014,8,10
7485818,8132048,10,10
7189717,5599788,5,6
7369362,6545842,10,7
5337364,4933529,3,4
7781930,6851231,1,1
7484631,7089286,8,4
5337232,8175618,10,4
3938360,4372292,11,9
8277501,5151761,11,4
8597288,4323983,3,3
7072041,7369772,5,1
4692767,8385635,1,7
4692767,8385635,2,8
8260861,7928699,8,11
4698245,7631764,3,12
7460100,6144238,10,3
7460100,6144238,9,5
7460100,6144238,3,6
7632786,7776449,4,2
5140520,7487863,1,7
8605826,7280250,11,1
5056652,6477479,2,8
5550796,8681454,9,4
7213325,4147814,4,13
8749835,7356754,8,4
6415230,6632739,9,4
5386250,8106730,12,7
8512270,8692268,12,8
7673728,6429992,2,9
7114455,6158612,3,6
8507379,8024862,9,10
7982801,6640614,12,6
4851325,7121474,5,10
8504241,4163376,7,4
4525809,6525419,11,5
4496152,4664963,10,7
6955282,4698208,12,9
8737497,4442696,2,10
4232193,6967849,4,6
6148236,8516215,2,1
3958754,4678707,9,10
5024320,6530123,4,8
4187425,4708529,1,5
7026242,7497008,8,13
4000397,8348934,9,10
5081499,8710729,1,3
4316756,4004839,9,13
8296875,4491986,11,7
4669643,7596006,6,6
6149581,4870363,9,9
6515506,6205554,8,1
8017946,8217453,5,2
8017946,8217453,7,7
4200707,6214894,7,1
6908728,8132390,12,8
4743740,5230575,6,2
4743740,5230575,13,10
5618218,5163677,10,11
7493631,5646273,4,11
7151444,8737456,6,1
7151444,8737456,12,6
5129884,6513797,6,6
8234075,7453908,5,12
8234075,7453908,7,13
8376604,6485009,9,2
4437393,6186117,12,4
4437393,6186117,2,6
5217608,7587959,2,6
6145472,4772004,1,4
7485599,4182829,6,7
8250495,5135087,4,12
6958118,4676557,5,11
4132680,7237214,10,10
6441068,7898422,6,3
7414283,7847371,5,1
7593169,7928960,5,9
7789642,8299996,12,7
8217100,4816422,4,11
7326626,6949164,4,2
6453842,7922833,7,4
6453842,7922833,9,11
7156641,5312933,5,8
5055309,7697293,9,9
4773763,5428515,4,7
4791794,6429153,6,2
6632773,5599737,4,7
8254471,6495805,4,8
4441597,4921225,5,1
6176093,5347949,13,11
5126172,8711087,13,11
7877576,7975599,4,6
8670577,5135683,13,12
8072306,5387004,13,6
7874643,5588343,10,6
6178214,8235198,7,8
6935805,6352025,10,8
6935805,6352025,11,13
7877791,5139573,5,2
5577675,4902869,11,10
8229230,7627878,3,8
5056551,5287162,10,3
7806077,6600149,9,7
4679275,6632166,1,2
4849139,8306633,4,8
8220593,4393481,5,13
8675535,8676179,1,4
8675535,8676179,5,8
4672863,6179542,9,9
4336821,4488592,1,11
7418075,5619334,11,3
4608424,8273302,4,7
8221859,4311547,11,13
4081173,8277186,1,3
4081173,8277186,6,4
8030776,8456820,11,13
8520276,5054562,11,10
7085815,7419360,6,10
6532546,6253152,6,5
6195591,6130759,7,12
5061077,6279295,13,5
4764831,7793864,7,9
6488312,7327070,2,3
6612515,5481963,9,12
8521830,8174580,2,4
6430788,5595701,11,7
4146851,8542035,12,7
7854330,6195252,9,7
4633169,6359407,10,9
4464063,8112106,5,11
8257859,4838457,9,12
7035463,8140895,9,8
4205341,4761999,8,1
6530327,5378579,4,5
7141711,8196657,6,5
6512294,6891965,9,6
5387919,7562552,7,9
5387919,7562552,6,11
8047706,8293628,5,13
7746308,7426599,5,11
7972925,7522028,12,13
8286830,5059193,8,2
6183274,8597310,11,2
8230300,8589125,10,10
4762066,6877563,12,2
8629887,8549924,9,9
5452884,3967193,10,3
5452884,3967193,12,4
6472624,7828167,8,6
6346316,7326378,8,9
4914532,8131784,7,11
4020941,4872367,9,6
7292633,4339197,5,10
7205718,7917205,5,1
4978208,6246460,9,12
7167209,6380818,4,4
8001855,8545451,12,9
8660644,4910413,13,11
7915147,8621294,6,4
6263583,8584540,11,3
7970155,8696990,10,4
5651913,6665934,6,4
5651913,6665934,4,12
7553678,6853019,7,2
6997142,5045404,2,5
6357506,7846706,12,10
6073578,8687946,5,4
8063276,5336162,5,7
6467563,5150919,2,1
6467563,5150919,5,3
5030056,8007956,4,10
6727233,7755660,12,10
7679212,8439507,7,3
7186883,7420239,11,8
6077770,7807043,3,4
7957411,4696781,13,11
6997053,4445994,12,12
8419012,3986662,11,7
5269397,7008075,6,9
4141593,5354980,1,5
8739263,7468633,5,9
6073396,5632202,7,3
6092226,8432828,6,7
6092226,8432828,10,12
5339134,5122949,8,7
6562820,7935432,12,11
5227717,6901346,1,8
5597385,5061406,10,12
7169897,5563210,13,13
5297006,5361228,9,13
7490434,6649346,7,5
6073149,6227035,5,13
6521854,7692430,5,1
6193212,8412370,3,8
8507321,4085257,11,6
7566086,8479395,5,10
7566086,8479395,2,12
6453532,4952167,2,4
5574856,5488242,4,3
5487046,6683414,13,8
4430728,7474189,10,7
7018725,7379430,12,12
7879501,7047594,4,10
5213991,5021895,4,12
8648827,8457913,5,11
8736053,8556285,9,10
8736053,8556285,5,11
6886584,5011121,1,3
8197453,6470746,6,10
4219510,7166723,7,8
6451236,6134851,6,5
6260491,7263760,6,12
8142503,7986386,6,4
6903411,8395205,5,8
6903411,8395205,9,11
7625183,5374636,11,6
6916564,4356803,1,3
7151591,7150836,10,10
6345167,7767981,2,3
8262211,4920994,6,13
4870634,6971056,7,4
4870634,6971056,3,8
4530000,7898180,9,3
8340149,6897473,2,5
8340149,6897473,13,8
5009586,4877570,1,10
8106531,4495601,11,9
5291829,6530053,10,10
6398575,8229573,5,7
5549995,8739395,9,5
7379414,7421202,8,10
4713969,4984664,1,11
6515458,7569836,4,6
7327590,8200028,6,9
6161236,6099395,10,10
5055988,7675956,5,4
5264886,5591680,1,5
7504944,7490040,12,6
4921429,6300210,11,1
7314575,5396481,3,11
7314575,5396481,5,13
7632058,8218952,5,4
7726483,7777218,4,6
4348083,4967509,2,6
7728564,5321267,11,8
4746677,5478524,1,11
8325914,6356792,5,8
6203085,4788085,11,6
7125811,8022181,13,11
5301439,5646827,13,11
4398572,7018289,11,9
4960312,4968139,5,2
8637457,4707170,7,9
7165744,5118199,6,3
8416400,7223998,7,4
4253743,5225915,6,1
8736299,8010712,11,6
8736299,8010712,4,9
6201011,8430650,11,11
7344680,6452649,2,10
5214503,4438318,13,4
4754380,8606840,3,13
7346737,6652075,6,10
8027781,6650229,13,10
6099993,7574040,3,3
6655066,7039217,9,8
4354158,8249340,10,4
8263732,8005350,7,1
5017685,6583074,7,5
8714069,4627829,1,9
8255783,7624216,7,8
7161471,8494853,5,4
7500953,7338080,11,10
7265442,8051311,6,2
4558632,5515379,2,13
5404342,4034925,5,9
8330251,4631217,11,5
8425671,4567846,13,12
7805830,6216499,8,9
7747762,7445144,11,6
6985630,4172721,2,1
7575265,5328463,12,5
4636837,4319196,9,7
7017913,7391207,2,13
8110739,7089217,2,9
4222999,4613662,2,3
7593373,5588003,11,3
7015844,8593121,7,8
7015844,8593121,11,9
4572859,5010348,13,12
8479414,4486036,12,5
7777398,4159562,11,5
7615348,6245886,6,12
4452608,4306103,10,2
6253508,8264881,7,4
6253508,8264881,6,5
8094144,5101451,9,3
5425525,4167201,8,10
6417256,8420038,9,13
6177311,4925924,11,8
5361813,4572583,4,1
4988828,4938795,10,11
6953245,5586107,6,9
5429691,8252712,1,5
7002900,7792084,3,6
6661616,4357987,7,11
7309266,5541480,6,11
4615353,5214976,4,2
6286668,8058573,6,11
8261473,8211339,7,10
6575907,7494109,6,12
7676176,8203132,12,8
7562411,7396115,9,6
3983725,6290399,4,12
6171776,5265732,10,1
6278171,7459337,5,11
6167959,6997238,10,12
4630379,4954775,3,10
5645467,6187736,3,9
5574554,8620108,7,1
5574554,8620108,10,2
7463520,7655499,12,9
8583406,4805142,5,4
3975597,4164453,1,10
4692394,6640073,8,11
6287873,4192998,7,9
8289297,8429169,9,8
8119436,6246838,6,2
8119436,6246838,8,10
6876266,7663592,3,6
4199206,4843973,3,10
4662093,8546949,4,10
7712308,6239140,13,8
6137623,6268857,2,5
6432739,7200087,13,9
6161015,5412241,13,12
5115476,7374077,5,2
5115476,7374077,10,5
5375788,8279361,11,11
7272624,7844183,2,10
7755802,7525893,12,5
7040086,8531192,5,13
4612789,4638128,13,4
5333573,4341224,10,6
8755778,7320918,3,2
7211886,7145764,3,4
8466906,6894440,10,1
6155998,8044830,8,10
5174612,8435019,7,11
7454648,7158501,13,5
6893709,6257792,13,1
6305041,6367402,11,12
4569615,7341479,4,9
5226076,8025157,6,2
8592984,8599337,11,1
4968821,6184377,4,6
5628029,8026692,7,12
4327983,7139176,12,6
7289785,7212774,9,8
7706846,7107280,13,5
7050752,6540800,6,10
7797111,8184263,6,4
6212115,7857390,4,11
8074369,7538375,5,10
7182606,6354559,3,5
7611507,4158845,11,13
4140335,5398790,6,13
4223081,7555624,9,7
7854700,5283773,3,5
7854700,5283773,7,10
4416683,4007385,13,2
4989737,7597633,4,5
6500777,6929796,9,8
7379674,7642502,13,11
6225703,6528806,2,3
6263748,7366031,11,5
4573594,6100780,8,6
8011023,7857801,2,7
6519436,6289011,10,5
8396086,8534610,6,12
7829392,5282734,13,9
4371369,7194289,11,8
4016505,4028366,12,3
7874910,6567109,3,11
8433964,5561365,8,8
7163880,7914822,8,9
7091109,8519438,12,5
5270252,8663449,4,9
4204561,7878337,1,1
4755222,6621095,13,10
4195820,4154368,2,9
6866538,7967586,4,6
4689357,7172719,8,1
4840334,5406455,5,6
4840334,5406455,3,7
4840334,5406455,7,8
4964110,8339923,6,3
4964110,8339923,8,7
4964110,8339923,7,10
6982816,6945105,4,10
7988413,6170435,13,13
6571029,8654614,13,4
3974266,4207225,11,11
6159779,4674556,2,4
4683051,5000880,6,12
5092582,7692375,12,10
7287963,4928656,1,1
4344658,6134165,9,3
6541808,8038352,2,10
6541808,8038352,13,11
8570118,7015339,8,11
6205566,4351043,4,10
4981434,8090413,5,4
7155883,4325928,4,12
7373068,6171139,9,6
7373068,6171139,8,9
5081490,8280239,10,1
7052194,7874319,12,10
7534754,6632917,9,8
7534754,6632917,5,9
4641220,8427888,4,1
4641220,8427888,1,13
7630533,7957807,6,8
7414982,8137541,13,5
8262484,4843777,12,9
7969235,5270558,6,8
6452642,8406553,2,8
6885467,4523857,5,12
5431149,5251339,2,5
8476704,5123372,7,11
4491183,6229432,12,10
6305519,7323018,8,5
4164984,5253423,5,7
7012225,4195106,2,8
7958105,6085248,10,8
8707680,8360201,3,6
8688620,5479360,10,10
8683608,8064455,12,9
7017883,7478276,8,7
4317539,7160190,12,13
7885944,8382260,10,2
4950714,5242936,5,9
6614196,8630360,12,13
4161337,4249566,2,2
7818853,8603274,7,2
7818853,8603274,12,9
4328872,5408786,2,5
7355629,6577342,9,3
8530683,6517616,11,6
8530683,6517616,13,7
8647584,4088830,9,6
8150125,7365793,7,1
4314615,5051616,10,9
8526284,6150794,11,5
8014122,7801194,4,1
8014122,7801194,10,4
6503376,8671953,10,12
4014826,8563277,11,6
7746245,6623994,13,7
7082681,7795073,3,2
7082681,7795073,10,8
7139205,6526247,7,10
4492719,4370428,2,3
7306562,8381676,5,7
6062400,4393366,12,12
6485852,8205100,12,6
7545045,5132627,10,4
7106124,8247971,6,12
6865207,7132692,13,3
6865207,7132692,6,5
4360416,8115097,12,2
6609197,4876330,11,7
5034347,8497978,13,9
7223029,8587819,13,7
7534551,7033532,7,4
4073381,8088869,1,1
4556322,8682055,10,3
6911520,4056362,11,3
6911520,4056362,6,12
5203401,6277310,7,11
8139963,4765356,4,3
8085094,4858162,11,13
8204459,5303304,7,4
6160404,6413224,3,2
7523833,6853824,9,6
8313717,5165240,13,9
4784893,8060732,10,7
7751194,4066263,2,2
7751194,4066263,7,8
5017183,6137286,5,13
4332375,4116591,12,10
4940937,7699208,6,2
6149197,8089467,11,3
4010801,8080697,4,7
4010801,8080697,11,8
4010801,8080697,6,11
7978601,4116008,10,5
7948965,7474318,11,10
4181754,6475895,7,7
4181754,6475895,12,8
8156372,5372605,9,1
8156372,5372605,10,4
7337660,4521456,10,6
7337660,4521456,3,9
7059507,4945435,1,11
7590094,6351837,11,9
8055833,8539401,5,8
5173073,4938712,8,13
7644703,3951043,4,6
7287867,4028958,11,3
7531463,8329363,8,8
5051408,7279896,8,11
5099210,7596231,11,5
5198208,4052399,11,9
7500344,8436825,13,7
7936987,6219044,13,4
7648721,8703137,3,12
8577642,7431220,3,8
7440386,8450842,5,1
7440386,8450842,1,5
7440386,8450842,10,10
7474448,8714699,8,5
7474448,8714699,10,8
4304350,4010865,9,5
6481361,8172354,7,2
7951066,5366477,1,4
7951066,5366477,6,7
7951066,5366477,11,9
5366577,8081004,6,7
6945512,4388488,13,3
6284034,5567015,9,8
7214456,7531279,7,10
8255771,6267049,6,6
6179041,8484134,11,8
5622643,4032364,5,7
7040849,7436670,12,2
7040849,7436670,1,7
8088269,4663139,6,12
7263292,4450445,3,9
8121481,5327214,12,1
8121481,5327214,8,3
8331111,4609465,13,11
6564899,7316639,4,1
5007619,8061995,10,7
4954437,7068031,8,10
8024022,5619529,13,10
4615455,7111576,12,13
6977210,8709540,8,11
4634565,6082578,4,11
6230143,8126989,8,9
6230143,8126989,6,13
6229693,5148850,6,12
5405484,5073310,7,2
4185733,4128331,5,13
7519664,4172465,7,9
7346790,8079196,10,11
6608691,7280335,13,10
7446906,7978224,9,11
7160360,4566267,8,8
6079312,4800930,12,12
5380421,8424354,12,8
5349416,6607234,10,2
7917258,8550351,10,4
7886041,5239697,12,2
7886041,5239697,4,10
6239654,7853908,2,7
7237497,8447644,9,5
6907764,3944396,3,5
4240322,6149687,4,3
8754639,8704848,1,2
4166915,4548997,10,3
4390881,7714631,2,8
5065279,4365164,10,4
5282995,8481089,11,8
6075559,4446075,7,10
7905478,4640270,4,3
4871165,4218177,11,13
4624094,8307932,8,3
4067798,7153402,2,7
8190958,7807524,12,4
4033879,4807010,11,13
6911007,5088660,10,7
7111933,8361336,7,10
6367515,4364131,8,6
7223135,6165189,3,9
8103118,4542971,11,13
8152478,8567102,7,8
4951439,8002715,3,3
7837342,7395390,7,8
5638233,7967832,3,5
6499199,7957859,5,2
4560861,8170851,11,6
6459950,7789216,3,1
6459950,7789216,8,11
4320770,6317939,6,12
7944521,5179519,4,9
4205191,5049551,5,7
8277262,7111213,6,4
6542465,6452428,4,5
6542465,6452428,2,6
7952225,5596224,11,10
6278601,7005694,1,12
4765396,4189708,11,2
8387364,4377018,3,3
7426138,7261499,6,4
5581507,5207071,12,6
7380924,7857178,5,4
6187626,6639320,7,9
6187626,6639320,1,11
5014702,5059208,2,7
4408452,8007067,8,6
8121173,7619501,5,12
5640902,6978505,11,1
5640902,6978505,6,9
7953702,8669142,9,7
8150519,8581398,5,5
8150519,8581398,6,9
8694390,7685413,10,9
7040615,5303972,10,13
6239493,7792821,9,4
6918866,8143111,12,6
4718641,6548934,12,11
5239970,4812059,11,8
5029001,8749381,7,13
8151357,5617532,5,3
8151357,5617532,8,8
4204447,4622150,3,3
6278919,4177419,8,2
6249366,4630177,9,13
7096068,7081999,11,7
6922754,7389237,2,2
4352413,4833826,2,6
7933475,7779046,3,8
6931740,5315330,5,1
6931740,5315330,12,6
3933217,6858991,5,4
8483077,6667698,10,1
7604564,5489937,11,7
7528358,8490909,5,11
7528358,8490909,4,12
8357429,8507104,7,2
7490702,7777556,11,9
7490702,7777556,13,11
6485571,6292136,6,13
7145833,7590014,8,7
8189090,5315424,13,1
4881763,4111107,9,6
