pno1,pno2,rank1,rank2
7557064,4618321,9,12
6151731,7819114,9,4
8196287,7769048,5,13
6301118,7382088,12,8
5654397,8381849,6,4
4353761,4881840,6,10
7664608,5604313,13,10
7827201,8327029,4,4
3955088,5126756,3,2
6862145,3976186,2,10
7032433,5353828,9,6
7608322,7215511,11,3
4613969,4964584,3,6
6463656,6897563,9,8
7602881,7385633,6,11
4714198,4096818,7,6
8235500,7629032,1,9
6482052,7817201,7,6
6364850,7540364,9,7
7871009,7201381,10,9
6404187,4382493,12,11
7019304,7894690,5,1
7385620,5485280,2,8
6875485,4551498,9,11
4324055,8130497,8,13
8477560,8397287,6,9
8067926,7453731,13,4
4823531,7080773,2,3
4823531,7080773,7,4
4823531,7080773,13,7
7865487,7958488,4,10
5189539,8593484,7,1
8408522,4750578,7,7
8658336,7048967,5,10
6145106,4871962,2,1
7118545,7345851,2,9
7118545,7345851,6,12
8595208,6437330,10,2
7595832,6603992,13,7
8122515,7644337,7,12
6133630,7208021,6,6
8001664,5582945,6,7
8042290,5316255,3,7
7718001,4793312,6,7
7967841,7874288,13,10
8413702,4323456,4,13
4809210,6438812,11,1
8573411,7142341,11,13
6154415,4401190,8,11
6489307,6994988,12,10
4417931,5597615,7,6
4417931,5597615,2,9
6660732,6346540,3,9
6222722,7259649,7,1
6222722,7259649,12,12
8548569,7183630,3,2
8736811,4032140,10,7
5573323,4519541,13,10
7890471,4824775,11,13
8299117,7622488,4,4
8004583,7831629,7,13
5642203,8486251,9,13
5371878,7716686,10,3
4612263,7989293,8,2
5493228,4811271,12,2
4118034,7727444,12,5
8098682,4723716,11,9
8481214,5173265,4,11
4063882,4486006,9,12
7715272,5039112,12,11
5570080,5589759,11,10
4891117,6220222,11,5
8149489,4884872,6,8
7261366,7631879,9,12
4931989,7714867,9,6
6083866,5652373,6,13
4327946,4750844,8,10
6455084,7413375,2,2
5568191,4857955,4,3
5568191,4857955,3,10
8273146,8408821,4,8
8694726,6905370,2,3
8694726,6905370,5,8
7806680,8723810,8,11
7916136,5327122,2,2
7916136,5327122,11,10
5252590,8039872,3,4
5052477,6859866,3,3
7872330,7828640,13,10
4487149,7748872,11,13
4979022,4782343,4,3
4979022,4782343,3,6
7046423,7616271,8,6
4531340,6276111,10,7
5007374,7009284,9,3
5110158,3967509,10,3
7271803,7148715,3,7
8643847,8120306,13,3
8643847,8120306,6,6
4266548,6155318,12,10
5254748,6841596,3,5
6145707,4080130,12,8
7176241,7341636,13,8
7173346,4892240,10,9
5164893,7077441,8,6
6943659,6963309,6,9
4862461,8073161,1,10
4531228,7423584,12,10
6663285,5400316,11,4
8691460,6536375,11,7
7156543,5039510,11,5
7983130,5336897,3,13
5231460,8158919,5,2
8648196,7045604,11,7
8698523,5386102,5,8
7455201,6848592,9,9
5381885,7260024,6,11
4410760,4117813,12,3
7585557,4153006,10,12
8724165,6377945,8,2
6770886,7423100,11,12
7325242,6161190,9,4
7248351,6909814,6,4
7770431,4567425,2,5
6994546,8553219,2,2
6068339,7774243,12,9
5330915,5554979,11,2
7454643,6671143,4,2
7454643,6671143,10,3
7148277,7977675,12,3
8429942,6435222,13,11
7037692,7200244,2,12
5479554,4022060,8,11
7044490,4183607,11,11
4685398,5560137,2,10
6898029,7150530,10,11
6536774,6984200,2,5
7940353,8133198,10,11
4642132,6856181,9,9
6610663,7293737,7,8
6940611,7780294,6,4
8754829,7486816,13,11
4050672,4560190,4,11
5625969,7983365,7,7
8502740,7932550,12,5
8502740,7932550,9,9
6479286,4519985,12,11
8143145,7218007,5,11
6979539,5590399,8,6
4303318,8256926,10,12
4856519,7094706,8,7
8079374,7534227,7,10
4920464,5100196,8,12
6426461,4663837,9,8
8327347,6421717,2,10
7393185,7145818,7,8
8200357,6285466,10,4
8635753,7423360,13,4
4542184,4449977,10,3
7879434,6690204,5,3
3933396,4223926,7,10
4827804,5067855,3,13
4299173,6276525,3,11
7433286,4926691,6,6
7594190,7284452,10,12
8570493,8724036,3,3
8446161,8361645,5,5
8611605,6208114,2,7
7008748,5232904,11,7
8495382,6317831,9,6
8495382,6317831,1,8
8637755,4102351,7,13
6492221,8554988,7,4
4208682,6311789,1,10
5293483,4250560,3,9
4569868,4005745,12,9
6502182,7798829,3,4
5574474,8095332,3,3
5060089,8284694,9,6
